Year,Host_City,Host_Country,Country,M_Total,Men,Women,P_Total,Population,Latitude,Longtitude,Participation.Population,Discipline,Age,Country.1,Gender,Category,Count_Medal
1960,Rome,Italy,Switzerland,4,5,1,6,8665615,46.818188,8.227512,46.15944743,Canoe Sprint,27,Uzbekistan,Male,Gold,1
1960,Rome,Italy,Switzerland,4,5,1,6,8665615,46.818188,8.227512,46.15944743,Canoe Sprint,27,Uzbekistan,Male,Silver,3
1960,Rome,Italy,Switzerland,4,5,1,6,8665615,46.818188,8.227512,46.15944743,Canoe Sprint,27,Uzbekistan,Male,Bronze,0
1960,Rome,Italy,United States of America,25,23,0,23,331341050,37.09024,-95.712891,4.627658823,Judo,33,Azerbaijan,Male,Gold,11
1960,Rome,Italy,United States of America,25,23,0,23,331341050,37.09024,-95.712891,4.627658823,Judo,33,Azerbaijan,Male,Silver,7
1960,Rome,Italy,United States of America,25,23,0,23,331341050,37.09024,-95.712891,4.627658823,Judo,33,Azerbaijan,Male,Bronze,7
1964,Tokyo,Japan,Argentina,37,19,6,25,45267449,-38.416097,-63.616672,36.81821493,Athletics,32,Iraq,Male,Gold,6
1964,Tokyo,Japan,Argentina,37,19,6,25,45267449,-38.416097,-63.616672,36.81821493,Athletics,32,Iraq,Male,Silver,15
1964,Tokyo,Japan,Argentina,37,19,6,25,45267449,-38.416097,-63.616672,36.81821493,Athletics,32,Iraq,Male,Bronze,16
1964,Tokyo,Japan,Australia,30,13,4,17,25550683,-25.274398,133.775136,44.35628329,Powerlifting,48,Kazakhstan,Female,Gold,12
1964,Tokyo,Japan,Australia,30,13,4,17,25550683,-25.274398,133.775136,44.35628329,Powerlifting,48,Kazakhstan,Female,Silver,11
1964,Tokyo,Japan,Australia,30,13,4,17,25550683,-25.274398,133.775136,44.35628329,Powerlifting,48,Kazakhstan,Female,Bronze,7
1964,Tokyo,Japan,Austria,12,3,4,7,9015361,47.516231,14.550072,51.76350306,Wheelchair Fencing,42,Japan,Female,Gold,4
1964,Tokyo,Japan,Austria,12,3,4,7,9015361,47.516231,14.550072,51.76350306,Wheelchair Fencing,42,Japan,Female,Silver,1
1964,Tokyo,Japan,Austria,12,3,4,7,9015361,47.516231,14.550072,51.76350306,Wheelchair Fencing,42,Japan,Female,Bronze,7
1964,Tokyo,Japan,Belgium,3,1,1,2,11598451,50.503887,4.469936,11.49578796,Taekwondo,30,Libya,Male,Gold,1
1964,Tokyo,Japan,Belgium,3,1,1,2,11598451,50.503887,4.469936,11.49578796,Taekwondo,30,Libya,Male,Silver,0
1964,Tokyo,Japan,Belgium,3,1,1,2,11598451,50.503887,4.469936,11.49578796,Taekwondo,30,Libya,Male,Bronze,2
1964,Tokyo,Japan,Fiji,0,1,0,1,897573,-16.578193,179.414413,74.27436728,Athletics,27,Great Britain,Male,Gold,0
1964,Tokyo,Japan,Fiji,0,1,0,1,897573,-16.578193,179.414413,74.27436728,Athletics,27,Great Britain,Male,Silver,0
1964,Tokyo,Japan,Fiji,0,1,0,1,897573,-16.578193,179.414413,74.27436728,Athletics,27,Great Britain,Male,Bronze,0
1964,Tokyo,Japan,France,11,13,0,13,65298930,46.227638,2.213749,13.27229507,Athletics,20,Kazakhstan,Female,Gold,4
1964,Tokyo,Japan,France,11,13,0,13,65298930,46.227638,2.213749,13.27229507,Athletics,20,Kazakhstan,Female,Silver,2
1964,Tokyo,Japan,France,11,13,0,13,65298930,46.227638,2.213749,13.27229507,Athletics,20,Kazakhstan,Female,Bronze,5
1964,Tokyo,Japan,Germany,12,8,1,9,83830972,51.165691,10.451526,7.157259253,Cycling Road,51,Austria,Male,Gold,5
1964,Tokyo,Japan,Germany,12,8,1,9,83830972,51.165691,10.451526,7.157259253,Cycling Road,51,Austria,Male,Silver,2
1964,Tokyo,Japan,Germany,12,8,1,9,83830972,51.165691,10.451526,7.157259253,Cycling Road,51,Austria,Male,Bronze,5
1964,Tokyo,Japan,Great Britain,61,30,14,44,67948282,55.378051,-3.435973,43.17008829,Taekwondo,17,Egypt,Female,Gold,18
1964,Tokyo,Japan,Great Britain,61,30,14,44,67948282,55.378051,-3.435973,43.17008829,Taekwondo,17,Egypt,Female,Silver,23
1964,Tokyo,Japan,Great Britain,61,30,14,44,67948282,55.378051,-3.435973,43.17008829,Taekwondo,17,Egypt,Female,Bronze,20
1964,Tokyo,Japan,Ireland,0,2,0,2,4947267,53.41291,-8.24389,26.9509071,Sitting Volleyball,44,Egypt,Male,Gold,0
1964,Tokyo,Japan,Ireland,0,2,0,2,4947267,53.41291,-8.24389,26.9509071,Sitting Volleyball,44,Egypt,Male,Silver,0
1964,Tokyo,Japan,Ireland,0,2,0,2,4947267,53.41291,-8.24389,26.9509071,Sitting Volleyball,44,Egypt,Male,Bronze,0
1964,Tokyo,Japan,Israel,21,16,3,19,8678517,31.046051,34.851612,145.9542761,Sitting Volleyball,41,Egypt,Male,Gold,7
1964,Tokyo,Japan,Israel,21,16,3,19,8678517,31.046051,34.851612,145.9542761,Sitting Volleyball,41,Egypt,Male,Silver,3
1964,Tokyo,Japan,Israel,21,16,3,19,8678517,31.046051,34.851612,145.9542761,Sitting Volleyball,41,Egypt,Male,Bronze,11
1964,Tokyo,Japan,Italy,45,14,5,19,60446035,41.87194,12.56738,20.95533093,Athletics,23,Brazil,Male,Gold,14
1964,Tokyo,Japan,Italy,45,14,5,19,60446035,41.87194,12.56738,20.95533093,Athletics,23,Brazil,Male,Silver,15
1964,Tokyo,Japan,Italy,45,14,5,19,60446035,41.87194,12.56738,20.95533093,Athletics,23,Brazil,Male,Bronze,16
1964,Tokyo,Japan,Japan,10,14,2,16,126407422,36.204824,138.252924,8.438323081,Cycling Road,35,Netherlands,Male,Gold,1
1964,Tokyo,Japan,Japan,10,14,2,16,126407422,36.204824,138.252924,8.438323081,Cycling Road,35,Netherlands,Male,Silver,5
1964,Tokyo,Japan,Japan,10,14,2,16,126407422,36.204824,138.252924,8.438323081,Cycling Road,35,Netherlands,Male,Bronze,4
1964,Tokyo,Japan,Malta,2,2,0,2,441750,35.937496,14.375416,301.8298434,Cycling Track,35,Netherlands,Male,Gold,0
1964,Tokyo,Japan,Malta,2,2,0,2,441750,35.937496,14.375416,301.8298434,Cycling Track,35,Netherlands,Male,Silver,0
1964,Tokyo,Japan,Malta,2,2,0,2,441750,35.937496,14.375416,301.8298434,Cycling Track,35,Netherlands,Male,Bronze,2
1964,Tokyo,Japan,Netherlands,14,4,3,7,17141544,52.132633,5.291266,27.2243076,Swimming,19,United States of America,Male,Gold,4
1964,Tokyo,Japan,Netherlands,14,4,3,7,17141544,52.132633,5.291266,27.2243076,Swimming,19,United States of America,Male,Silver,6
1964,Tokyo,Japan,Netherlands,14,4,3,7,17141544,52.132633,5.291266,27.2243076,Swimming,19,United States of America,Male,Bronze,4
1964,Tokyo,Japan,Rhodesia,17,4,2,6,7980000,-19.016666,30.016666,50.12531328,Athletics,31,Somalia,Male,Gold,10
1964,Tokyo,Japan,Rhodesia,17,4,2,6,7980000,-19.016666,30.016666,50.12531328,Athletics,31,Somalia,Male,Silver,5
1964,Tokyo,Japan,Rhodesia,17,4,2,6,7980000,-19.016666,30.016666,50.12531328,Athletics,31,Somalia,Male,Bronze,2
1964,Tokyo,Japan,South Africa,19,5,4,9,59436725,-30.559482,22.937506,10.09476885,Table Tennis,46,Jordan,Female,Gold,8
1964,Tokyo,Japan,South Africa,19,5,4,9,59436725,-30.559482,22.937506,10.09476885,Table Tennis,46,Jordan,Female,Silver,8
1964,Tokyo,Japan,South Africa,19,5,4,9,59436725,-30.559482,22.937506,10.09476885,Table Tennis,46,Jordan,Female,Bronze,3
1964,Tokyo,Japan,Sweden,1,1,0,1,10110233,60.128161,18.643501,6.593979255,Powerlifting,46,Dominican Republic,Male,Gold,0
1964,Tokyo,Japan,Sweden,1,1,0,1,10110233,60.128161,18.643501,6.593979255,Powerlifting,46,Dominican Republic,Male,Silver,0
1964,Tokyo,Japan,Sweden,1,1,0,1,10110233,60.128161,18.643501,6.593979255,Powerlifting,46,Dominican Republic,Male,Bronze,1
1964,Tokyo,Japan,Switzerland,1,0,1,1,8665615,46.818188,8.227512,7.693241238,Taekwondo,29,Azerbaijan,Male,Gold,0
1964,Tokyo,Japan,Switzerland,1,0,1,1,8665615,46.818188,8.227512,7.693241238,Taekwondo,29,Azerbaijan,Male,Silver,1
1964,Tokyo,Japan,Switzerland,1,0,1,1,8665615,46.818188,8.227512,7.693241238,Taekwondo,29,Azerbaijan,Male,Bronze,0
1964,Tokyo,Japan,United States of America,123,45,20,65,331341050,37.09024,-95.712891,13.07816624,Wheelchair Basketball,44,Turkey,Male,Gold,50
1964,Tokyo,Japan,United States of America,123,45,20,65,331341050,37.09024,-95.712891,13.07816624,Wheelchair Basketball,44,Turkey,Male,Silver,41
1964,Tokyo,Japan,United States of America,123,45,20,65,331341050,37.09024,-95.712891,13.07816624,Wheelchair Basketball,44,Turkey,Male,Bronze,32
1964,Tokyo,Japan,West Germany,0,0,1,1,83830972,51.165691,10.451526,0.795251028,Football 5-a-side,31,Argentina,Male,Gold,0
1964,Tokyo,Japan,West Germany,0,0,1,1,83830972,51.165691,10.451526,0.795251028,Football 5-a-side,31,Argentina,Male,Silver,0
1964,Tokyo,Japan,West Germany,0,0,1,1,83830972,51.165691,10.451526,0.795251028,Football 5-a-side,31,Argentina,Male,Bronze,0
1968,Tel Aviv,Israel,Argentina,30,14,7,21,45267449,-38.416097,-63.616672,30.92730054,Powerlifting,35,El Salvador,Male,Gold,10
1968,Tel Aviv,Israel,Argentina,30,14,7,21,45267449,-38.416097,-63.616672,30.92730054,Powerlifting,35,El Salvador,Male,Silver,10
1968,Tel Aviv,Israel,Argentina,30,14,7,21,45267449,-38.416097,-63.616672,30.92730054,Powerlifting,35,El Salvador,Male,Bronze,10
1968,Tel Aviv,Israel,Australia,38,23,12,35,25550683,-25.274398,133.775136,91.32175971,Swimming,27,Mexico,Female,Gold,15
1968,Tel Aviv,Israel,Australia,38,23,12,35,25550683,-25.274398,133.775136,91.32175971,Swimming,27,Mexico,Female,Silver,16
1968,Tel Aviv,Israel,Australia,38,23,12,35,25550683,-25.274398,133.775136,91.32175971,Swimming,27,Mexico,Female,Bronze,7
1968,Tel Aviv,Israel,Austria,19,19,12,31,9015361,47.516231,14.550072,229.2383707,Triathlon,49,Italy,Male,Gold,2
1968,Tel Aviv,Israel,Austria,19,19,12,31,9015361,47.516231,14.550072,229.2383707,Triathlon,49,Italy,Male,Silver,7
1968,Tel Aviv,Israel,Austria,19,19,12,31,9015361,47.516231,14.550072,229.2383707,Triathlon,49,Italy,Male,Bronze,10
1968,Tel Aviv,Israel,Belgium,6,21,5,26,11598451,50.503887,4.469936,149.4452434,Athletics,23,Colombia,Male,Gold,0
1968,Tel Aviv,Israel,Belgium,6,21,5,26,11598451,50.503887,4.469936,149.4452434,Athletics,23,Colombia,Male,Silver,3
1968,Tel Aviv,Israel,Belgium,6,21,5,26,11598451,50.503887,4.469936,149.4452434,Athletics,23,Colombia,Male,Bronze,3
1968,Tel Aviv,Israel,Canada,19,18,7,25,37799407,56.130366,-106.346771,44.09240247,Football 5-a-side,39,Spain,Male,Gold,6
1968,Tel Aviv,Israel,Canada,19,18,7,25,37799407,56.130366,-106.346771,44.09240247,Football 5-a-side,39,Spain,Male,Silver,6
1968,Tel Aviv,Israel,Canada,19,18,7,25,37799407,56.130366,-106.346771,44.09240247,Football 5-a-side,39,Spain,Male,Bronze,7
1968,Tel Aviv,Israel,Denmark,0,7,1,8,5795780,56.26392,9.501785,92.02097618,Athletics,20,Colombia,Male,Gold,0
1968,Tel Aviv,Israel,Denmark,0,7,1,8,5795780,56.26392,9.501785,92.02097618,Athletics,20,Colombia,Male,Silver,0
1968,Tel Aviv,Israel,Denmark,0,7,1,8,5795780,56.26392,9.501785,92.02097618,Athletics,20,Colombia,Male,Bronze,0
1968,Tel Aviv,Israel,Ethiopia,0,2,0,2,115434444,9.145,40.489673,1.155056747,Athletics,20,Iceland,Female,Gold,0
1968,Tel Aviv,Israel,Ethiopia,0,2,0,2,115434444,9.145,40.489673,1.155056747,Athletics,20,Iceland,Female,Silver,0
1968,Tel Aviv,Israel,Ethiopia,0,2,0,2,115434444,9.145,40.489673,1.155056747,Athletics,20,Iceland,Female,Bronze,0
1968,Tel Aviv,Israel,Finland,0,2,0,2,5542237,61.92411,25.748151,24.05767443,Swimming,26,Hungary,Female,Gold,0
1968,Tel Aviv,Israel,Finland,0,2,0,2,5542237,61.92411,25.748151,24.05767443,Swimming,26,Hungary,Female,Silver,0
1968,Tel Aviv,Israel,Finland,0,2,0,2,5542237,61.92411,25.748151,24.05767443,Swimming,26,Hungary,Female,Bronze,0
1968,Tel Aviv,Israel,France,32,40,14,54,65298930,46.227638,2.213749,55.13107183,Athletics,30,New Zealand,Female,Gold,13
1968,Tel Aviv,Israel,France,32,40,14,54,65298930,46.227638,2.213749,55.13107183,Athletics,30,New Zealand,Female,Silver,10
1968,Tel Aviv,Israel,France,32,40,14,54,65298930,46.227638,2.213749,55.13107183,Athletics,30,New Zealand,Female,Bronze,9
1968,Tel Aviv,Israel,Great Britain,69,50,24,74,67948282,55.378051,-3.435973,72.6042394,Cycling Road,44,Italy,Male,Gold,29
1968,Tel Aviv,Israel,Great Britain,69,50,24,74,67948282,55.378051,-3.435973,72.6042394,Cycling Road,44,Italy,Male,Silver,20
1968,Tel Aviv,Israel,Great Britain,69,50,24,74,67948282,55.378051,-3.435973,72.6042394,Cycling Road,44,Italy,Male,Bronze,20
1968,Tel Aviv,Israel,India,0,8,2,10,1382345085,20.593684,78.96288,0.482272244,Equestrian,47,Ireland,Female,Gold,0
1968,Tel Aviv,Israel,India,0,8,2,10,1382345085,20.593684,78.96288,0.482272244,Equestrian,47,Ireland,Female,Silver,0
1968,Tel Aviv,Israel,India,0,8,2,10,1382345085,20.593684,78.96288,0.482272244,Equestrian,47,Ireland,Female,Bronze,0
1968,Tel Aviv,Israel,Ireland,9,5,2,7,4947267,53.41291,-8.24389,94.32817486,Athletics,20,Great Britain,Female,Gold,0
1968,Tel Aviv,Israel,Ireland,9,5,2,7,4947267,53.41291,-8.24389,94.32817486,Athletics,20,Great Britain,Female,Silver,4
1968,Tel Aviv,Israel,Ireland,9,5,2,7,4947267,53.41291,-8.24389,94.32817486,Athletics,20,Great Britain,Female,Bronze,5
1968,Tel Aviv,Israel,Israel,62,38,16,54,8678517,31.046051,34.851612,414.8174164,Powerlifting,41,Nigeria,Male,Gold,18
1968,Tel Aviv,Israel,Israel,62,38,16,54,8678517,31.046051,34.851612,414.8174164,Powerlifting,41,Nigeria,Male,Silver,21
1968,Tel Aviv,Israel,Israel,62,38,16,54,8678517,31.046051,34.851612,414.8174164,Powerlifting,41,Nigeria,Male,Bronze,23
1968,Tel Aviv,Israel,Italy,39,33,5,38,60446035,41.87194,12.56738,41.91066185,Canoe Sprint,31,Germany,Female,Gold,12
1968,Tel Aviv,Israel,Italy,39,33,5,38,60446035,41.87194,12.56738,41.91066185,Canoe Sprint,31,Germany,Female,Silver,10
1968,Tel Aviv,Israel,Italy,39,33,5,38,60446035,41.87194,12.56738,41.91066185,Canoe Sprint,31,Germany,Female,Bronze,17
1968,Tel Aviv,Israel,Jamaica,5,7,4,11,2963429,18.109581,-77.297508,247.4610775,Athletics,31,France,Male,Gold,3
1968,Tel Aviv,Israel,Jamaica,5,7,4,11,2963429,18.109581,-77.297508,247.4610775,Athletics,31,France,Male,Silver,1
1968,Tel Aviv,Israel,Jamaica,5,7,4,11,2963429,18.109581,-77.297508,247.4610775,Athletics,31,France,Male,Bronze,1
1968,Tel Aviv,Israel,Japan,12,40,7,47,126407422,36.204824,138.252924,24.78757405,Boccia,18,RPC,Female,Gold,2
1968,Tel Aviv,Israel,Japan,12,40,7,47,126407422,36.204824,138.252924,24.78757405,Boccia,18,RPC,Female,Silver,2
1968,Tel Aviv,Israel,Japan,12,40,7,47,126407422,36.204824,138.252924,24.78757405,Boccia,18,RPC,Female,Bronze,8
1968,Tel Aviv,Israel,Republic of Korea,0,5,0,5,51276977,35.907757,127.766922,6.500643229,Athletics,26,Ukraine,Female,Gold,0
1968,Tel Aviv,Israel,Republic of Korea,0,5,0,5,51276977,35.907757,127.766922,6.500643229,Athletics,26,Ukraine,Female,Silver,0
1968,Tel Aviv,Israel,Republic of Korea,0,5,0,5,51276977,35.907757,127.766922,6.500643229,Athletics,26,Ukraine,Female,Bronze,0
1968,Tel Aviv,Israel,Malta,0,4,2,6,441750,35.937496,14.375416,905.4895303,Cycling Road,49,Italy,Female,Gold,0
1968,Tel Aviv,Israel,Malta,0,4,2,6,441750,35.937496,14.375416,905.4895303,Cycling Road,49,Italy,Female,Silver,0
1968,Tel Aviv,Israel,Malta,0,4,2,6,441750,35.937496,14.375416,905.4895303,Cycling Road,49,Italy,Female,Bronze,0
1968,Tel Aviv,Israel,Netherlands,20,24,11,35,17141544,52.132633,5.291266,136.121538,Athletics,24,Morocco,Male,Gold,12
1968,Tel Aviv,Israel,Netherlands,20,24,11,35,17141544,52.132633,5.291266,136.121538,Athletics,24,Morocco,Male,Silver,4
1968,Tel Aviv,Israel,Netherlands,20,24,11,35,17141544,52.132633,5.291266,136.121538,Athletics,24,Morocco,Male,Bronze,4
1968,Tel Aviv,Israel,New Zealand,4,17,1,18,4829021,-40.900557,174.885971,248.4975733,Athletics,30,Islamic Republic of Iran,Male,Gold,1
1968,Tel Aviv,Israel,New Zealand,4,17,1,18,4829021,-40.900557,174.885971,248.4975733,Athletics,30,Islamic Republic of Iran,Male,Silver,2
1968,Tel Aviv,Israel,New Zealand,4,17,1,18,4829021,-40.900557,174.885971,248.4975733,Athletics,30,Islamic Republic of Iran,Male,Bronze,1
1968,Tel Aviv,Israel,Norway,9,18,9,27,5428594,60.472024,8.468946,331.5775687,Swimming,25,Kazakhstan,Male,Gold,5
1968,Tel Aviv,Israel,Norway,9,18,9,27,5428594,60.472024,8.468946,331.5775687,Swimming,25,Kazakhstan,Male,Silver,3
1968,Tel Aviv,Israel,Norway,9,18,9,27,5428594,60.472024,8.468946,331.5775687,Swimming,25,Kazakhstan,Male,Bronze,1
1968,Tel Aviv,Israel,Rhodesia,20,7,7,14,7980000,-19.016666,30.016666,116.9590643,Athletics,23,France,Female,Gold,6
1968,Tel Aviv,Israel,Rhodesia,20,7,7,14,7980000,-19.016666,30.016666,116.9590643,Athletics,23,France,Female,Silver,7
1968,Tel Aviv,Israel,Rhodesia,20,7,7,14,7980000,-19.016666,30.016666,116.9590643,Athletics,23,France,Female,Bronze,7
1968,Tel Aviv,Israel,South Africa,26,5,3,8,59436725,-30.559482,22.937506,8.973127866,Athletics,29,Brazil,Male,Gold,9
1968,Tel Aviv,Israel,South Africa,26,5,3,8,59436725,-30.559482,22.937506,8.973127866,Athletics,29,Brazil,Male,Silver,10
1968,Tel Aviv,Israel,South Africa,26,5,3,8,59436725,-30.559482,22.937506,8.973127866,Athletics,29,Brazil,Male,Bronze,7
1968,Tel Aviv,Israel,Spain,4,9,2,11,46757980,40.463667,-3.74922,15.6835974,Football 5-a-side,50,Spain,Male,Gold,0
1968,Tel Aviv,Israel,Spain,4,9,2,11,46757980,40.463667,-3.74922,15.6835974,Football 5-a-side,50,Spain,Male,Silver,3
1968,Tel Aviv,Israel,Spain,4,9,2,11,46757980,40.463667,-3.74922,15.6835974,Football 5-a-side,50,Spain,Male,Bronze,1
1968,Tel Aviv,Israel,Sweden,11,27,5,32,10110233,60.128161,18.643501,211.0073362,Athletics,31,Cuba,Male,Gold,1
1968,Tel Aviv,Israel,Sweden,11,27,5,32,10110233,60.128161,18.643501,211.0073362,Athletics,31,Cuba,Male,Silver,6
1968,Tel Aviv,Israel,Sweden,11,27,5,32,10110233,60.128161,18.643501,211.0073362,Athletics,31,Cuba,Male,Bronze,4
1968,Tel Aviv,Israel,Switzerland,8,32,2,34,8665615,46.818188,8.227512,261.5702021,Table Tennis,45,Nigeria,Male,Gold,0
1968,Tel Aviv,Israel,Switzerland,8,32,2,34,8665615,46.818188,8.227512,261.5702021,Table Tennis,45,Nigeria,Male,Silver,2
1968,Tel Aviv,Israel,Switzerland,8,32,2,34,8665615,46.818188,8.227512,261.5702021,Table Tennis,45,Nigeria,Male,Bronze,6
1968,Tel Aviv,Israel,United States of America,99,53,29,82,331341050,37.09024,-95.712891,16.49860972,Table Tennis,48,Sweden,Female,Gold,33
1968,Tel Aviv,Israel,United States of America,99,53,29,82,331341050,37.09024,-95.712891,16.49860972,Table Tennis,48,Sweden,Female,Silver,27
1968,Tel Aviv,Israel,United States of America,99,53,29,82,331341050,37.09024,-95.712891,16.49860972,Table Tennis,48,Sweden,Female,Bronze,39
1968,Tel Aviv,Israel,West Germany,35,50,8,58,83830972,51.165691,10.451526,46.12455963,Cycling Road,30,Malaysia,Male,Gold,12
1968,Tel Aviv,Israel,West Germany,35,50,8,58,83830972,51.165691,10.451526,46.12455963,Cycling Road,30,Malaysia,Male,Silver,12
1968,Tel Aviv,Israel,West Germany,35,50,8,58,83830972,51.165691,10.451526,46.12455963,Cycling Road,30,Malaysia,Male,Bronze,11
1972,Heidelberg,Germany,Argentina,9,12,9,21,45267449,-38.416097,-63.616672,30.92730054,Cycling Track,30,Malaysia,Male,Gold,2
1972,Heidelberg,Germany,Argentina,9,12,9,21,45267449,-38.416097,-63.616672,30.92730054,Cycling Track,30,Malaysia,Male,Silver,4
