Year,Host_City,Host_Country,Country,Gold,Silver,Bronze,M_Total,Men,Women,P_Total,Population,Latitude,Longtitude,Participation_Per_Ten_Million,Discipline,Age,Country,Gender
1960,Rome,Italy,Argentina,2,3,1,6,5,4,9,45267449,-38.416097,-63.616672,13.25455738,Judo,31,Mongolia,Male
1960,Rome,Italy,Australia,3,6,1,10,10,1,11,25550683,-25.274398,133.775136,28.70112448,Swimming,36,Chile,Male
1960,Rome,Italy,Austria,11,8,11,30,12,7,19,9015361,47.516231,14.550072,140.5009369,Judo,23,Azerbaijan,Male
1960,Rome,Italy,Belgium,1,1,1,3,10,2,12,11598451,50.503887,4.469936,68.97472775,Wheelchair Basketball,43,Algeria,Male
1960,Rome,Italy,Finland,1,0,0,1,1,0,1,5542237,61.92411,25.748151,12.02883721,Wheelchair Basketball,34,Algeria,Male
1960,Rome,Italy,France,3,3,1,7,10,1,11,65298930,46.227638,2.213749,11.23040352,Sitting Volleyball,46,Egypt,Male
1960,Rome,Italy,Germany,15,6,9,30,7,2,9,83830972,51.165691,10.451526,7.157259253,Wheelchair Basketball,32,Algeria,Female
1960,Rome,Italy,Great Britain,20,15,20,55,29,13,42,67948282,55.378051,-3.435973,41.20781155,Powerlifting,46,Egypt,Female
1960,Rome,Italy,Ireland,2,0,0,2,0,1,1,4947267,53.41291,-8.24389,13.47545355,Powerlifting,40,Egypt,Male
1960,Rome,Italy,Israel,0,2,2,4,6,1,7,8678517,31.046051,34.851612,53.77262805,Judo,22,Algeria,Female
1960,Rome,Italy,Italy,29,28,23,80,23,4,27,60446035,41.87194,12.56738,29.77862816,Sitting Volleyball,48,Egypt,Male
1960,Rome,Italy,Malta,0,2,2,4,5,1,6,441750,35.937496,14.375416,905.4895303,Athletics,32,Tunisia,Female
1960,Rome,Italy,Netherlands,3,6,0,9,11,2,13,17141544,52.132633,5.291266,50.55942841,Powerlifting,33,Egypt,Male
1960,Rome,Italy,Norway,9,3,4,16,7,4,11,5428594,60.472024,8.468946,135.0871576,Swimming,17,Egypt,Female
1960,Rome,Italy,Rhodesia,2,1,2,5,0,1,1,7980000,-19.016666,30.016666,8.354218881,Wheelchair Basketball,35,Islamic Republic of Iran,Male
1960,Rome,Italy,Switzerland,1,3,0,4,5,1,6,8665615,46.818188,8.227512,46.15944743,Canoe Sprint,27,Uzbekistan,Male
1960,Rome,Italy,United States of America,11,7,7,25,23,0,23,331341050,37.09024,-95.712891,4.627658823,Judo,33,Azerbaijan,Male
1964,Tokyo,Japan,Argentina,6,15,16,37,19,6,25,45267449,-38.416097,-63.616672,36.81821493,Athletics,32,Iraq,Male
1964,Tokyo,Japan,Australia,12,11,7,30,13,4,17,25550683,-25.274398,133.775136,44.35628329,Powerlifting,48,Kazakhstan,Female
1964,Tokyo,Japan,Austria,4,1,7,12,3,4,7,9015361,47.516231,14.550072,51.76350306,Wheelchair Fencing,42,Japan,Female
1964,Tokyo,Japan,Belgium,1,0,2,3,1,1,2,11598451,50.503887,4.469936,11.49578796,Taekwondo,30,Libya,Male
1964,Tokyo,Japan,Fiji,0,0,0,0,1,0,1,897573,-16.578193,179.414413,74.27436728,Athletics,27,Great Britain,Male
1964,Tokyo,Japan,France,4,2,5,11,13,0,13,65298930,46.227638,2.213749,13.27229507,Athletics,20,Kazakhstan,Female
1964,Tokyo,Japan,Germany,5,2,5,12,8,1,9,83830972,51.165691,10.451526,7.157259253,Cycling Road,51,Austria,Male
1964,Tokyo,Japan,Great Britain,18,23,20,61,30,14,44,67948282,55.378051,-3.435973,43.17008829,Taekwondo,17,Egypt,Female
1964,Tokyo,Japan,Ireland,0,0,0,0,2,0,2,4947267,53.41291,-8.24389,26.9509071,Sitting Volleyball,44,Egypt,Male
1964,Tokyo,Japan,Israel,7,3,11,21,16,3,19,8678517,31.046051,34.851612,145.9542761,Sitting Volleyball,41,Egypt,Male
1964,Tokyo,Japan,Italy,14,15,16,45,14,5,19,60446035,41.87194,12.56738,20.95533093,Athletics,23,Brazil,Male
1964,Tokyo,Japan,Japan,1,5,4,10,14,2,16,126407422,36.204824,138.252924,8.438323081,Cycling Road,35,Netherlands,Male
1964,Tokyo,Japan,Malta,0,0,2,2,2,0,2,441750,35.937496,14.375416,301.8298434,Cycling Track,35,Netherlands,Male
1964,Tokyo,Japan,Netherlands,4,6,4,14,4,3,7,17141544,52.132633,5.291266,27.2243076,Swimming,19,United States of America,Male
1964,Tokyo,Japan,Rhodesia,10,5,2,17,4,2,6,7980000,-19.016666,30.016666,50.12531328,Athletics,31,Somalia,Male
1964,Tokyo,Japan,South Africa,8,8,3,19,5,4,9,59436725,-30.559482,22.937506,10.09476885,Table Tennis,46,Jordan,Female
1964,Tokyo,Japan,Sweden,0,0,1,1,1,0,1,10110233,60.128161,18.643501,6.593979255,Powerlifting,46,Dominican Republic,Male
1964,Tokyo,Japan,Switzerland,0,1,0,1,0,1,1,8665615,46.818188,8.227512,7.693241238,Taekwondo,29,Azerbaijan,Male
1964,Tokyo,Japan,United States of America,50,41,32,123,45,20,65,331341050,37.09024,-95.712891,13.07816624,Wheelchair Basketball,44,Turkey,Male
1964,Tokyo,Japan,West Germany,0,0,0,0,0,1,1,83830972,51.165691,10.451526,0.795251028,Football 5-a-side,31,Argentina,Male
1968,Tel Aviv,Israel,Argentina,10,10,10,30,14,7,21,45267449,-38.416097,-63.616672,30.92730054,Powerlifting,35,El Salvador,Male
1968,Tel Aviv,Israel,Australia,15,16,7,38,23,12,35,25550683,-25.274398,133.775136,91.32175971,Swimming,27,Mexico,Female
1968,Tel Aviv,Israel,Austria,2,7,10,19,19,12,31,9015361,47.516231,14.550072,229.2383707,Triathlon,49,Italy,Male
1968,Tel Aviv,Israel,Belgium,0,3,3,6,21,5,26,11598451,50.503887,4.469936,149.4452434,Athletics,23,Colombia,Male
1968,Tel Aviv,Israel,Canada,6,6,7,19,18,7,25,37799407,56.130366,-106.346771,44.09240247,Football 5-a-side,39,Spain,Male
1968,Tel Aviv,Israel,Denmark,0,0,0,0,7,1,8,5795780,56.26392,9.501785,92.02097618,Athletics,20,Colombia,Male
1968,Tel Aviv,Israel,Ethiopia,0,0,0,0,2,0,2,115434444,9.145,40.489673,1.155056747,Athletics,20,Iceland,Female
1968,Tel Aviv,Israel,Finland,0,0,0,0,2,0,2,5542237,61.92411,25.748151,24.05767443,Swimming,26,Hungary,Female
1968,Tel Aviv,Israel,France,13,10,9,32,40,14,54,65298930,46.227638,2.213749,55.13107183,Athletics,30,New Zealand,Female
1968,Tel Aviv,Israel,Great Britain,29,20,20,69,50,24,74,67948282,55.378051,-3.435973,72.6042394,Cycling Road,44,Italy,Male
1968,Tel Aviv,Israel,India,0,0,0,0,8,2,10,1382345085,20.593684,78.96288,0.482272244,Equestrian,47,Ireland,Female
1968,Tel Aviv,Israel,Ireland,0,4,5,9,5,2,7,4947267,53.41291,-8.24389,94.32817486,Athletics,20,Great Britain,Female
1968,Tel Aviv,Israel,Israel,18,21,23,62,38,16,54,8678517,31.046051,34.851612,414.8174164,Powerlifting,41,Nigeria,Male
1968,Tel Aviv,Israel,Italy,12,10,17,39,33,5,38,60446035,41.87194,12.56738,41.91066185,Canoe Sprint,31,Germany,Female
1968,Tel Aviv,Israel,Jamaica,3,1,1,5,7,4,11,2963429,18.109581,-77.297508,247.4610775,Athletics,31,France,Male
1968,Tel Aviv,Israel,Japan,2,2,8,12,40,7,47,126407422,36.204824,138.252924,24.78757405,Boccia,18,RPC,Female
1968,Tel Aviv,Israel,Republic of Korea,0,0,0,0,5,0,5,51276977,35.907757,127.766922,6.500643229,Athletics,26,Ukraine,Female
1968,Tel Aviv,Israel,Malta,0,0,0,0,4,2,6,441750,35.937496,14.375416,905.4895303,Cycling Road,49,Italy,Female
1968,Tel Aviv,Israel,Netherlands,12,4,4,20,24,11,35,17141544,52.132633,5.291266,136.121538,Athletics,24,Morocco,Male
1968,Tel Aviv,Israel,New Zealand,1,2,1,4,17,1,18,4829021,-40.900557,174.885971,248.4975733,Athletics,30,Islamic Republic of Iran,Male
1968,Tel Aviv,Israel,Norway,5,3,1,9,18,9,27,5428594,60.472024,8.468946,331.5775687,Swimming,25,Kazakhstan,Male
1968,Tel Aviv,Israel,Rhodesia,6,7,7,20,7,7,14,7980000,-19.016666,30.016666,116.9590643,Athletics,23,France,Female
1968,Tel Aviv,Israel,South Africa,9,10,7,26,5,3,8,59436725,-30.559482,22.937506,8.973127866,Athletics,29,Brazil,Male
1968,Tel Aviv,Israel,Spain,0,3,1,4,9,2,11,46757980,40.463667,-3.74922,15.6835974,Football 5-a-side,50,Spain,Male
1968,Tel Aviv,Israel,Sweden,1,6,4,11,27,5,32,10110233,60.128161,18.643501,211.0073362,Athletics,31,Cuba,Male
1968,Tel Aviv,Israel,Switzerland,0,2,6,8,32,2,34,8665615,46.818188,8.227512,261.5702021,Table Tennis,45,Nigeria,Male
1968,Tel Aviv,Israel,United States of America,33,27,39,99,53,29,82,331341050,37.09024,-95.712891,16.49860972,Table Tennis,48,Sweden,Female
1968,Tel Aviv,Israel,West Germany,12,12,11,35,50,8,58,83830972,51.165691,10.451526,46.12455963,Cycling Road,30,Malaysia,Male
1972,Heidelberg,Germany,Argentina,2,4,3,9,12,9,21,45267449,-38.416097,-63.616672,30.92730054,Cycling Track,30,Malaysia,Male
1972,Heidelberg,Germany,Australia,6,9,10,25,28,9,37,25550683,-25.274398,133.775136,96.54014598,Wheelchair Basketball,20,Islamic Republic of Iran,Male
1972,Heidelberg,Germany,Austria,6,6,6,18,22,10,32,9015361,47.516231,14.550072,236.6331568,Goalball,25,Egypt,Female
1972,Heidelberg,Germany,Bahamas,0,0,0,0,1,0,1,393893,25.03428,-77.39628,169.2507018,Powerlifting,38,Egypt,Male
1972,Heidelberg,Germany,Belgium,1,1,2,4,18,5,23,11598451,50.503887,4.469936,132.2015615,Powerlifting,29,Egypt,Female
1972,Heidelberg,Germany,Brazil,0,0,0,0,8,0,8,212821986,-14.235004,-51.92528,2.506006749,Archery,23,People's Republic of China,Male
1972,Heidelberg,Germany,Canada,5,6,8,19,27,13,40,37799407,56.130366,-106.346771,70.54784396,Swimming,19,Thailand,Male
1972,Heidelberg,Germany,Czechoslovakia,0,0,1,1,14,5,19,10732559,50.073658,14.41854,118.0209367,Football 5-a-side,27,Morocco,Male
